"concept"	"meaning"	"context"	"source_language"	"source_version"	"source_value"	"target_base"	"target_base_version"	"target_value"	"target_context"	"target_number"	"target_gender"	"target_case"	"target_fields"	"target_language"	"target_version"	"sync_status"	"ttype"
"CAR_PART"	"below_instrument_panel"		"en-US"	"0.6.8.1"	"floor"			"floor"						"en-US"	"0.6.8.1"	"in sync"	
"CAR_PART"	"dashboard"		"en-US"	"0.1.0"	"dashboard"			"dashboard"						"en-US"	"0.1.0"	"in sync"	
"CAR_PART"	"door"		"en-US"	"0.1.0"	"door"			"door"						"en-US"	"0.1.0"	"in sync"	
"CAR_PART"	"footwell"		"en-US"	"0.1.0"	"footwell"			"footwell"						"en-US"	"0.1.0"	"in sync"	
"CAR_PART"	"front_windshield"		"en-US"	"0.1.0"	"front windshield"			"front windshield"						"en-US"	"0.1.0"	"in sync"	
"CAR_PART"	"glove_compartment"		"en-US"	"0.1.0"	"glove compartment"			"glove compartment"						"en-US"	"0.1.0"	"in sync"	
"CAR_PART"	"grip"		"en-US"	"0.1.0"	"grip"			"grip"						"en-US"	"0.1.0"	"in sync"	
"CAR_PART"	"mirror"		"en-US"	"0.1.0"	"mirror"			"mirror"						"en-US"	"0.1.0"	"in sync"	
"CAR_PART"	"rear_windshield"		"en-US"	"0.1.0"	"rear windshield"			"rear windshield"						"en-US"	"0.1.0"	"in sync"	
"CAR_PART"	"roof"		"en-US"	"0.1.0"	"roof"			"roof"						"en-US"	"0.1.0"	"in sync"	
"CAR_PART"	"seat"		"en-US"	"0.1.0"	"seat"			"seat"						"en-US"	"0.1.0"	"in sync"	
"CAR_PART"	"seat_row"		"en-US"	"0.1.0"	"seat row"			"seat row"						"en-US"	"0.1.0"	"in sync"	
"CAR_PART"	"skyroof"		"en-US"	"0.1.0"	"skyroof"			"skyroof"						"en-US"	"0.1.0"	"in sync"	
"CAR_PART"	"steering_wheel"		"en-US"	"0.1.0"	"steering wheel"			"steering wheel"						"en-US"	"0.1.0"	"in sync"	
"CAR_PART"	"sunroof"		"en-US"	"0.1.0"	"sunroof"			"sunroof"						"en-US"	"0.1.0"	"in sync"	
"CAR_PART"	"window"		"en-US"	"0.1.0"	"windows"			"windows"						"en-US"	"0.1.0"	"in sync"	
"COLOR"	"amber_orange"		"en-US"	"0.1.0"	"amber orange"			"amber orange"						"en-US"	"0.1.0"	"in sync"	
"COLOR"	"amethyst_glow"		"en-US"	"0.6.8"	"amethyst glow"			"amethyst glow"						"en-US"	"0.6.8"	"in sync"	
"COLOR"	"apple_green"		"en-US"	"0.1.0"	"apple green"			"apple green"						"en-US"	"0.1.0"	"in sync"	
"COLOR"	"atlantis"		"en-US"	"0.1.0"	"atlantis"			"atlantis"						"en-US"	"0.1.0"	"in sync"	
"COLOR"	"atoll_blue"		"en-US"	"0.6.8"	"atoll blue"			"atoll blue"						"en-US"	"0.6.8"	"in sync"	
"COLOR"	"automatic"		"en-US"	"0.1.0"	"automatic"			"automatic"						"en-US"	"0.1.0"	"in sync"	
