"concept"	"condition"	"source_language"	"source_version"	"source_value"	"target_base"	"target_base_version"	"target_value"	"target_context"	"target_language"	"target_version"	"sync_status"		"ttype"
"Add_to_Fav_Background_phrase"		"en-US"	"0.2.8"	"Alright, adding <media_object> to <media_provider> favorites."			"Alright, adding <media_object> to <media_provider> favorites."		"en-US"	"0.2.8"	"in sync"		
"Add_to_Fav_Background_phrase"		"en-US"	"0.2.8"	"Alright, adding <media_object> to favorites."			"Alright, adding <media_object> to favorites."		"en-US"	"0.2.8"	"in sync"		
"Add_to_Fav_Background_phrase"		"en-US"	"0.2.8"	"Got it. <media_object> has been added to favorites."			"Got it. <media_object> has been added to favorites."		"en-US"	"0.2.8"	"in sync"		
"Add_to_Fav_Background_phrase"		"en-US"	"0.2.8.2"	"Got it. <media_object> has been added to <media_provider> favorites."			"Got it. <media_object> has been added to <media_provider> favorites."		"en-US"	"0.2.8.2"	"in sync"		
"AddressType_Disambiguation_phrase"		"en-US"	"0.1.8"	"<address_type_example> | Number 2 | <page_browse_example> | None of these | Cancel"			"<address_type_example> | Number 2 | <page_browse_example> | None of these | Cancel"		"en-US"	"0.1.8"	"in sync"		
"AddressType_Disambiguation_phrase"		"en-US"	"0.1.8"	"Number 2 | <page_browse_example> | None of these | Cancel"			"Number 2 | <page_browse_example> | None of these | Cancel"		"en-US"	"0.1.8"	"in sync"		
"AddressType_Disambiguation_phrase"		"en-US"	"0.1.8"	"Number 2 | None of these | Cancel"			"Number 2 | None of these | Cancel"		"en-US"	"0.1.8"	"in sync"		
"AddressType_Disambiguation_phrase"		"en-US"	"0.2.5.1"	"<address_type_example> | Number 2 | None of these | Cancel"			"<address_type_example> | Number 2 | None of these | Cancel"		"en-US"	"0.2.5.1"	"in sync"		
"maximum_distance"		"en-US"	"0.1.5"	"<distance_number>"			"<distance_number>"		"en-US"	"0.1.5"	"in sync"		
"maximum_distance"		"en-US"	"0.4.2"	"<distanceAbsolute>"			"<distanceAbsolute>"		"en-US"	"0.4.2"	"in sync"		
"mean_distance"		"en-US"	"0.1.5"	"<distance_number>"			"<distance_number>"		"en-US"	"0.1.5"	"in sync"		
"mean_distance"		"en-US"	"0.4.2"	"<distanceAbsolute>"			"<distanceAbsolute>"		"en-US"	"0.4.2"	"in sync"		
"media_hints"		"en-US"	"0.2.4"	"<album> <artist>"			"<album> <artist>"		"en-US"	"0.2.4"	"in sync"		
"media_hints"		"en-US"	"0.2.4"	"<audiobook>"			"<audiobook>"		"en-US"	"0.2.4"	"in sync"		
"media_hints"		"en-US"	"0.2.4"	"<playlist>"			"<playlist>"		"en-US"	"0.2.4"	"in sync"		
"media_hints"		"en-US"	"0.2.4"	"<podcast>"			"<podcast>"		"en-US"	"0.2.4"	"in sync"		
"media_hints"		"en-US"	"0.2.4"	"<podcast_type>"			"<podcast_type>"		"en-US"	"0.2.4"	"in sync"		
"media_hints"		"en-US"	"0.2.4"	"<song> <album> <artist>"			"<song> <album> <artist>"		"en-US"	"0.2.4"	"in sync"		
"media_hints"		"en-US"	"0.2.4"	"<song> <artist>"			"<song> <artist>"		"en-US"	"0.2.4"	"in sync"		
